patient,gene,expression
1,A,44.418591109046616
2,A,46.92044244981871
3,A,45.64739304036299
4,A,46.45242725971873
5,A,44.74536389472299
6,A,43.772574248031496
7,A,45.24563154157126
8,A,43.03717765246879
9,A,46.47434027396662
10,A,45.59248979604929
11,A,46.16139483038418
12,A,44.345366856584405
13,A,47.11814110977706
14,A,46.76904504594989
15,A,46.25272573683193
16,A,43.625874185333856
17,A,44.85024451677165
18,A,42.94711694604253
19,A,43.444302714303966
20,A,36.65897623167284
21,A,46.101429701585175
22,A,47.10379379595395
23,A,44.21621411162168
24,A,44.41706867715691
25,A,26.91780069044468
26,A,43.60262111587929
27,A,43.33464677400962
28,A,44.8906721680167
29,A,43.771092070728976
30,A,45.7641629760713
31,A,44.71718363492549
32,A,51.146757070486295
33,A,45.90119295901012
34,A,44.15564988621919
35,A,60.443719838161925
36,A,46.371439608735606
37,A,44.49365270563578
38,A,44.047476467686096
39,A,45.82122976788739
40,A,43.37888617624189
41,A,43.64958691113799
42,A,42.783130213879524
43,A,46.29115969875962
44,A,54.89019462559697
45,A,18.3692976815274
46,A,46.263280639598854
47,A,44.81512098992253
48,A,45.309335381788024
49,A,43.379086491574455
50,A,30.285769731638318
1,B,393.51719462129125
2,B,385.88142317773924
3,B,389.524637320822
4,B,397.2554557820002
5,B,392.21359898402284
6,B,389.07352280546445
7,B,389.2913171208475
8,B,379.4128687950231
9,B,368.8426501977793
10,B,384.5509629632924
11,B,451.1453122057389
12,B,383.4600585121434
13,B,560.9473785096693
14,B,376.7034581029887
15,B,480.87821093437697
16,B,378.5395566212513
17,B,379.0120784255707
18,B,393.26616911993085
19,B,389.20714429560746
20,B,397.9868606924182
21,B,393.3589340106699
22,B,383.3771715377307
23,B,399.15258888657553
24,B,374.11185200042814
25,B,368.5289572302804
26,B,371.13485221201734
27,B,395.6053068680826
28,B,346.97218392965584
29,B,373.8912178486004
30,B,387.04043279650017
31,B,373.54447837499964
32,B,394.59759851550837
33,B,384.916247864715
34,B,382.3955214499339
35,B,379.31851785002283
36,B,235.22516181222056
37,B,381.6521480284162
38,B,333.9378466897798
39,B,297.77346272965116
40,B,242.9252637708397
41,B,402.8120727303844
42,B,394.728666078476
43,B,377.9391675084834
44,B,405.1571258033569
45,B,397.78765998347626
